id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry,service_horizon_status
milwaukee-county-transit-system-mcts,Milwaukee County Transit System (MCTS),2026-07-10,F,39.6,63.5,0.0,37.8,,-860,within_review_threshold
milwaukee-county-transit-system-mcts-2127,Milwaukee County Transit System (MCTS),2026-07-10,D,64.5,73.5,56.7,37.3,90.6,43,within_review_threshold
minnesota-valley-transit-authority-mvta,Minnesota Valley Transit Authority (MVTA),2026-07-10,F,47.4,80.0,50.0,37.5,0.0,30,within_review_threshold
mission-bay-transportation-management-association-tma,Mission Bay Transportation Management Association (TMA),2026-07-10,B,83.8,91.5,100.0,60.0,,186,within_review_threshold
mission-bay-transportation-management-association-tma-51,Mission Bay Transportation Management Association (TMA),2026-07-10,B,83.8,91.5,100.0,60.0,,186,within_review_threshold
modesto-area-express,Modesto Area Express,2026-07-10,F,31.6,45.5,0.0,37.4,,-861,within_review_threshold
monroe-county-transportation-authority-mcta,Monroe County Transportation Authority (MCTA),2026-07-10,F,52.4,54.0,0.0,92.0,,-853,within_review_threshold
montachusett-regional-transit-authority-mart,Montachusett Regional Transit Authority (MART),2026-07-10,C,78.0,80.0,100.0,57.5,,82,within_review_threshold
montachusett-regional-transit-authority-mart-433,Montachusett Regional Transit Authority (MART),2026-07-10,C,78.0,80.0,100.0,57.5,,82,within_review_threshold
montebello-bus-lines,Montebello Bus Lines,2026-07-10,F,46.4,63.2,0.0,60.0,,-1835,within_review_threshold
montebello-bus-lines-2201,Montebello Bus Lines,2026-07-10,C,73.6,71.0,96.7,37.5,100.0,58,within_review_threshold
montebello-bus-lines-577,Montebello Bus Lines,2026-07-10,F,46.4,63.2,0.0,60.0,,-1835,within_review_threshold
monterey-salinas-transit-mst,Monterey-Salinas Transit (MST),2026-07-10,D,66.3,100.0,81.7,60.0,0.0,49,within_review_threshold
montgomery-county-department-of-transportation-ride-on,Montgomery County Department of Transportation (Ride On),2026-07-10,F,50.8,12.0,95.0,69.9,,57,within_review_threshold
montgomery-transit,Montgomery Transit,2026-07-10,C,78.5,79.5,100.0,60.0,,174,within_review_threshold
montgomery-transit-338,Montgomery Transit,2026-07-10,C,78.5,79.5,100.0,60.0,,174,within_review_threshold
moorpark-city-transit,Moorpark City Transit,2026-07-10,C,77.3,94.0,88.3,45.0,,53,within_review_threshold
moorpark-city-transit-578,Moorpark City Transit,2026-07-10,C,77.3,94.0,88.3,45.0,,53,within_review_threshold
moover,MOOver,2026-07-10,F,39.5,47.8,0.0,59.5,,-1689,within_review_threshold
moover-434,MOOver,2026-07-10,F,39.5,47.8,0.0,59.5,,-1689,within_review_threshold
morongo-basin-transit-authority,Morongo Basin Transit Authority,2026-07-10,C,77.5,77.2,100.0,60.0,,175,within_review_threshold
morongo-basin-transit-authority-579,Morongo Basin Transit Authority,2026-07-10,C,77.5,77.2,100.0,60.0,,175,within_review_threshold
morro-bay-transit,Morro Bay Transit,2026-07-10,F,49.3,80.0,0.0,45.7,,-1729,within_review_threshold
morro-bay-transit-2059,Morro Bay Transit,2026-07-10,F,48.0,75.5,0.0,47.8,,-405,within_review_threshold
morro-bay-transit-45,Morro Bay Transit,2026-07-10,F,49.3,80.0,0.0,45.7,,-1729,within_review_threshold
morrow-county-public-transit,Morrow County Public Transit,2026-07-10,C,71.5,84.0,100.0,31.1,,205,within_review_threshold
mount-adams-transportation-service,Mount Adams Transportation Service,2026-07-10,B,82.5,92.0,100.0,55.1,,175,within_review_threshold
mount-adams-transportation-service-580,Mount Adams Transportation Service,2026-07-10,B,82.5,92.0,100.0,55.1,,175,within_review_threshold
mountain-empire-transit,Flex,2026-07-10,B,80.2,94.0,100.0,45.0,,83,within_review_threshold
mountain-express,Flex,2026-07-10,F,59.7,94.0,36.7,30.0,,22,within_review_threshold
mountain-express-mtnexp,Mountain Express (MtnExp),2026-07-10,F,55.8,74.0,0.0,75.0,,-1131,within_review_threshold
mountain-express-mtnexp-581,Mountain Express (MtnExp),2026-07-10,F,55.8,74.0,0.0,75.0,,-1131,within_review_threshold
mountain-family-center,Flex,2026-07-10,F,59.7,94.0,36.7,30.0,,22,within_review_threshold
mountain-line,Mountain Line,2026-07-10,C,78.7,96.0,100.0,37.5,,220,within_review_threshold
mountain-line-1148,Mountain Line,2026-07-10,F,28.3,0.0,35.0,62.5,,-194,within_review_threshold
mountain-line-transit,Mountain Line Transit,2026-07-10,C,76.6,75.5,100.0,40.7,100.0,173,within_review_threshold
mountain-line-transit-authority,Mountain Line Transit Authority,2026-07-10,B,85.6,73.0,100.0,91.8,,174,within_review_threshold
mountain-lynx-transit,Mountain Lynx Transit,2026-07-10,C,79.6,92.0,100.0,45.9,,206,within_review_threshold
mountain-lynx-transit-2447,Flex,2026-07-10,F,48.0,51.8,45.0,45.2,,27,within_review_threshold
mountain-lynx-transit-334,Mountain Lynx Transit,2026-07-10,C,79.6,92.0,100.0,45.9,,206,within_review_threshold
mountain-metro-transit,Flex,2026-07-10,D,64.4,94.0,36.7,45.0,,22,within_review_threshold
mountain-metropolitan-transit,Mountain Metropolitan Transit,2026-07-10,F,26.2,45.5,0.0,20.0,,-3205,within_review_threshold
